id,time,values
1,2023:08:21 00:06:16,518.0
2,2023:08:21 00:06:16,647.2
3,2023:08:21 00:06:16,88.4
1,2023:08:21 00:06:46,279.2
2,2023:08:21 00:06:46,468.4
3,2023:08:21 00:06:46,527.8
1,2023:08:21 00:07:16,189.6
2,2023:08:21 00:07:16,381.0
3,2023:08:21 00:07:16,834.8
1,2023:08:21 00:07:46,674.0
2,2023:08:21 00:07:46,710.4
3,2023:08:21 00:07:46,64.6
1,2023:08:21 00:08:16,433.8
2,2023:08:21 00:08:16,764.6
3,2023:08:21 00:08:16,294.4
1,2023:08:21 00:08:46,532.2
2,2023:08:21 00:08:46,192.2
3,2023:08:21 00:08:46,352.2
1,2023:08:21 00:09:16,322.6
2,2023:08:21 00:09:16,140.8
3,2023:08:21 00:09:16,666.4
1,2023:08:21 00:09:46,533.2
2,2023:08:21 00:09:46,413.0
3,2023:08:21 00:09:46,42.0
1,2023:08:21 00:10:16,570.4
2,2023:08:21 00:10:16,980.0
3,2023:08:21 00:10:16,662.2
1,2023:08:21 00:10:46,748.2
2,2023:08:21 00:10:46,194.6
3,2023:08:21 00:10:46,51.4
1,2023:08:21 00:11:16,504.4
2,2023:08:21 00:11:16,826.8
3,2023:08:21 00:11:16,810.6
1,2023:08:21 00:11:46,747.2
2,2023:08:21 00:11:46,92.0
3,2023:08:21 00:11:46,963.4
1,2023:08:21 00:12:16,185.0
2,2023:08:21 00:12:16,839.6
3,2023:08:21 00:12:16,847.2
1,2023:08:21 00:12:46,455.8
2,2023:08:21 00:12:46,647.0
3,2023:08:21 00:12:46,325.6
1,2023:08:21 00:13:16,210.2
2,2023:08:21 00:13:16,321.4
3,2023:08:21 00:13:16,1.6
1,2023:08:21 00:13:46,775.8
2,2023:08:21 00:13:46,55.8
3,2023:08:21 00:13:46,650.6
1,2023:08:21 00:14:16,8.2
2,2023:08:21 00:14:16,416.4
3,2023:08:21 00:14:16,381.6
1,2023:08:21 00:14:46,502.4
2,2023:08:21 00:14:46,163.6
3,2023:08:21 00:14:46,273.8
1,2023:08:21 00:15:16,577.0
2,2023:08:21 00:15:16,667.0
3,2023:08:21 00:15:16,895.6
1,2023:08:21 00:15:46,185.2
2,2023:08:21 00:15:46,671.8
3,2023:08:21 00:15:46,171.0
1,2023:08:21 00:16:16,282.0
2,2023:08:21 00:16:16,318.0
3,2023:08:21 00:16:16,135.2
1,2023:08:21 00:16:46,296.2
2,2023:08:21 00:16:46,321.6
3,2023:08:21 00:16:46,32.2
1,2023:08:21 00:17:16,17.0
2,2023:08:21 00:17:16,408.2
3,2023:08:21 00:17:16,341.0
1,2023:08:21 00:17:46,41.4
2,2023:08:21 00:17:46,105.0
3,2023:08:21 00:17:46,230.0
1,2023:08:21 00:18:16,409.8
2,2023:08:21 00:18:16,82.0
3,2023:08:21 00:18:16,215.0
1,2023:08:21 00:18:46,949.4
2,2023:08:21 00:18:46,797.0
3,2023:08:21 00:18:46,742.0
1,2023:08:21 00:19:16,909.0
2,2023:08:21 00:19:16,699.2
3,2023:08:21 00:19:16,835.8
1,2023:08:21 00:19:46,726.0
2,2023:08:21 00:19:46,209.0
3,2023:08:21 00:19:46,387.8
1,2023:08:21 00:20:16,734.2
2,2023:08:21 00:20:16,98.0
3,2023:08:21 00:20:16,27.6
1,2023:08:21 00:20:46,685.4
2,2023:08:21 00:20:46,117.6
3,2023:08:21 00:20:46,855.4
1,2023:08:21 00:21:16,821.2
2,2023:08:21 00:21:16,604.0
3,2023:08:21 00:21:16,946.6
1,2023:08:21 00:21:46,270.6
2,2023:08:21 00:21:46,274.6
3,2023:08:21 00:21:46,122.8
1,2023:08:21 00:22:16,831.0
2,2023:08:21 00:22:16,698.0
3,2023:08:21 00:22:16,885.4
1,2023:08:21 00:22:46,262.6
2,2023:08:21 00:22:46,388.6
3,2023:08:21 00:22:46,414.8
1,2023:08:21 00:23:16,101.0
2,2023:08:21 00:23:16,824.4
3,2023:08:21 00:23:16,191.2
1,2023:08:21 00:23:46,928.2
2,2023:08:21 00:23:46,960.2
3,2023:08:21 00:23:46,434.4
1,2023:08:21 00:24:16,999.0
2,2023:08:21 00:24:16,657.6
3,2023:08:21 00:24:16,852.4
1,2023:08:21 00:24:46,663.6
2,2023:08:21 00:24:46,565.6
3,2023:08:21 00:24:46,245.6
1,2023:08:21 00:25:16,548.2
2,2023:08:21 00:25:16,310.6
3,2023:08:21 00:25:16,475.4
1,2023:08:21 00:25:46,799.2
2,2023:08:21 00:25:46,814.4
3,2023:08:21 00:25:46,720.0
1,2023:08:21 00:26:16,36.2
2,2023:08:21 00:26:16,125.0
3,2023:08:21 00:26:16,447.8
1,2023:08:21 00:26:46,673.4
2,2023:08:21 00:26:46,394.2
3,2023:08:21 00:26:46,243.8
1,2023:08:21 00:27:16,318.2
2,2023:08:21 00:27:16,622.8
3,2023:08:21 00:27:16,236.2
1,2023:08:21 00:27:46,30.8
2,2023:08:21 00:27:46,160.8
3,2023:08:21 00:27:46,457.2
1,2023:08:21 00:28:16,175.4
2,2023:08:21 00:28:16,264.4
3,2023:08:21 00:28:16,454.0
1,2023:08:21 00:28:46,125.2
2,2023:08:21 00:28:46,179.0
3,2023:08:21 00:28:46,596.8
1,2023:08:21 00:29:16,332.2
2,2023:08:21 00:29:16,95.8
3,2023:08:21 00:29:16,630.6
1,2023:08:21 00:29:46,540.2
2,2023:08:21 00:29:46,365.6
3,2023:08:21 00:29:46,534.0
1,2023:08:21 00:30:16,207.8
2,2023:08:21 00:30:16,240.8
3,2023:08:21 00:30:16,794.6
1,2023:08:21 00:30:46,170.2
2,2023:08:21 00:30:46,327.8
3,2023:08:21 00:30:46,298.2
1,2023:08:21 00:31:16,572.8
2,2023:08:21 00:31:16,264.4
3,2023:08:21 00:31:16,17.4
1,2023:08:21 00:31:46,429.4
2,2023:08:21 00:31:46,540.8
3,2023:08:21 00:31:46,496.2
1,2023:08:21 00:32:16,16.4
2,2023:08:21 00:32:16,939.2
3,2023:08:21 00:32:16,486.2
1,2023:08:21 00:32:46,117.2
2,2023:08:21 00:32:46,659.8
3,2023:08:21 00:32:46,169.6
1,2023:08:21 00:33:16,618.4
2,2023:08:21 00:33:16,307.8
3,2023:08:21 00:33:16,182.2
1,2023:08:21 00:33:46,23.6
2,2023:08:21 00:33:46,158.8
3,2023:08:21 00:33:46,128.6
1,2023:08:21 00:34:16,470.0
2,2023:08:21 00:34:16,568.4
3,2023:08:21 00:34:16,975.8
1,2023:08:21 00:34:46,744.0
2,2023:08:21 00:34:46,109.2
3,2023:08:21 00:34:46,431.8
1,2023:08:21 00:35:16,513.6
2,2023:08:21 00:35:16,963.0
3,2023:08:21 00:35:16,234.6
1,2023:08:21 00:35:46,171.4
2,2023:08:21 00:35:46,548.2
3,2023:08:21 00:35:46,803.8
1,2023:08:21 00:36:16,74.8
2,2023:08:21 00:36:16,884.2
3,2023:08:21 00:36:16,314.2
1,2023:08:21 00:36:46,265.4
2,2023:08:21 00:36:46,203.4
3,2023:08:21 00:36:46,294.4
1,2023:08:21 00:37:16,399.6
2,2023:08:21 00:37:16,470.8
3,2023:08:21 00:37:16,152.8
1,2023:08:21 00:37:46,186.2
2,2023:08:21 00:37:46,927.0
3,2023:08:21 00:37:46,142.0
1,2023:08:21 00:38:16,580.4
2,2023:08:21 00:38:16,448.8
3,2023:08:21 00:38:16,236.2
1,2023:08:21 00:38:46,68.2
2,2023:08:21 00:38:46,837.8
3,2023:08:21 00:38:46,44.8
1,2023:08:21 00:39:16,348.2
2,2023:08:21 00:39:16,388.4
3,2023:08:21 00:39:16,937.6
1,2023:08:21 00:39:46,176.0
2,2023:08:21 00:39:46,739.8
3,2023:08:21 00:39:46,469.6
1,2023:08:21 00:40:16,39.0
2,2023:08:21 00:40:16,950.2
3,2023:08:21 00:40:16,185.2
1,2023:08:21 00:40:46,921.2
2,2023:08:21 00:40:46,789.4
3,2023:08:21 00:40:46,350.2
1,2023:08:21 00:41:16,166.6
2,2023:08:21 00:41:16,329.4
3,2023:08:21 00:41:16,237.6
1,2023:08:21 00:41:46,525.4
2,2023:08:21 00:41:46,979.0
3,2023:08:21 00:41:46,540.2
1,2023:08:21 00:42:16,541.0
2,2023:08:21 00:42:16,202.8
3,2023:08:21 00:42:16,422.8
1,2023:08:21 00:42:46,933.2
2,2023:08:21 00:42:46,880.4
3,2023:08:21 00:42:46,286.6
1,2023:08:21 00:43:16,374.6
2,2023:08:21 00:43:16,789.8
3,2023:08:21 00:43:16,701.4
1,2023:08:21 00:43:46,606.6
2,2023:08:21 00:43:46,645.8
3,2023:08:21 00:43:46,378.2
1,2023:08:21 00:44:16,965.8
2,2023:08:21 00:44:16,704.6
3,2023:08:21 00:44:16,874.6
1,2023:08:21 00:44:46,672.2
2,2023:08:21 00:44:46,916.6
3,2023:08:21 00:44:46,395.2
1,2023:08:21 00:45:16,573.6
2,2023:08:21 00:45:16,853.8
3,2023:08:21 00:45:16,970.8
1,2023:08:21 00:45:46,632.6
2,2023:08:21 00:45:46,303.0
3,2023:08:21 00:45:46,280.0
1,2023:08:21 00:46:16,582.0
2,2023:08:21 00:46:16,837.2
3,2023:08:21 00:46:16,107.2
1,2023:08:21 00:46:46,356.2
2,2023:08:21 00:46:46,285.2
3,2023:08:21 00:46:46,5.8
1,2023:08:21 00:47:16,92.6
2,2023:08:21 00:47:16,806.8
3,2023:08:21 00:47:16,753.4
1,2023:08:21 00:47:46,728.0
2,2023:08:21 00:47:46,662.6
3,2023:08:21 00:47:46,157.2
1,2023:08:21 00:48:16,567.2
2,2023:08:21 00:48:16,669.8
3,2023:08:21 00:48:16,939.8
1,2023:08:21 00:48:46,471.8
2,2023:08:21 00:48:46,187.4
3,2023:08:21 00:48:46,24.8
1,2023:08:21 00:49:16,787.8
2,2023:08:21 00:49:16,263.0
3,2023:08:21 00:49:16,23.0
1,2023:08:21 00:49:46,402.8
2,2023:08:21 00:49:46,175.2
3,2023:08:21 00:49:46,856.8
1,2023:08:21 00:50:16,861.2
2,2023:08:21 00:50:16,501.8
3,2023:08:21 00:50:16,287.8
1,2023:08:21 00:50:46,311.4
2,2023:08:21 00:50:46,746.2
3,2023:08:21 00:50:46,144.2
1,2023:08:21 00:51:16,613.2
2,2023:08:21 00:51:16,677.6
3,2023:08:21 00:51:16,889.4
1,2023:08:21 00:51:46,335.8
2,2023:08:21 00:51:46,137.0
